firm,year,overall_rating,work_life_balance,culture_values,career_opp,comp_benefits,senior_mgmt
Achieving-for-Children,2017,5.0,4.0,4.0,5.0,4.0,4.0
Achieving-for-Children,2019,4.0,3.0,3.7,3.7,3.0,4.0
Achieving-for-Children,2020,5.0,5.0,5.0,5.0,5.0,5.0
ActionCOACH,2012,4.0,3.0,5.0,3.0,4.0,4.0
ActionCOACH,2013,3.5,3.0,4.5,4.0,3.0,4.0
ActionCOACH,2014,4.2,3.9,4.2,4.1,4.2,4.4
ActionCOACH,2015,4.0,5.0,4.3,3.7,4.0,3.7
ActionCOACH,2016,2.5,3.0,3.5,2.5,2.0,2.0
ActionCOACH,2017,4.5,4.0,4.4,4.5,4.2,4.1
ActionCOACH,2018,4.2,4.4,4.5,4.2,3.9,4.5
ActionCOACH,2019,4.2,4.0,4.0,4.0,3.2,4.4
ActionCOACH,2020,5.0,5.0,5.0,5.0,5.0,4.8
ActionCOACH,2021,4.7,3.5,4.0,3.5,3.8,4.0
Active-Care-Group,2016,3.3,2.0,3.3,3.3,2.7,3.0
Active-Care-Group,2017,2.2,2.2,2.7,2.5,2.2,2.0
Active-Care-Group,2018,3.7,3.4,3.9,3.5,3.3,3.7
Active-Care-Group,2019,3.8,3.5,3.4,3.7,3.2,3.6
Active-Care-Group,2020,2.9,3.1,3.1,3.1,2.1,3.2
Active-Care-Group,2021,2.9,2.9,2.8,3.2,3.1,3.2
Adecco,2008,3.2,2.9,,2.6,2.4,2.3
Adecco,2009,3.2,3.0,,2.7,2.8,2.5
Adecco,2010,3.1,3.3,,2.5,2.5,2.7
Adecco,2011,2.8,3.1,,2.6,2.5,2.7
Adecco,2012,3.1,3.3,3.1,2.9,3.0,2.9
Adecco,2013,3.1,3.2,3.1,3.1,2.9,2.6
Adecco,2014,3.1,3.3,3.0,2.9,2.7,2.8
Adecco,2015,3.1,3.1,2.9,2.9,2.7,2.8
Adecco,2016,3.3,3.2,3.0,3.0,2.8,2.9
Adecco,2017,3.1,3.1,2.9,2.8,2.7,2.7
Adecco,2018,3.2,3.1,3.0,3.0,2.8,2.8
Adecco,2019,3.3,3.2,3.1,3.1,3.0,3.0
Adecco,2020,3.4,3.3,3.3,3.2,3.1,3.1
Adecco,2021,3.6,3.3,3.4,3.4,3.2,3.2
Age-UK-The-National-Charity,2012,2.5,3.5,2.5,2.5,2.5,1.0
Age-UK-The-National-Charity,2013,3.0,4.7,3.7,2.3,3.3,2.0
Age-UK-The-National-Charity,2014,3.8,4.0,4.0,3.0,3.5,3.0
Age-UK-The-National-Charity,2015,3.8,3.8,3.6,2.9,2.6,3.8
Age-UK-The-National-Charity,2016,3.6,3.7,3.4,2.9,3.0,3.0
Age-UK-The-National-Charity,2017,3.7,3.4,3.7,2.2,2.6,3.2
Age-UK-The-National-Charity,2018,3.2,3.6,3.8,2.5,2.2,2.8
Age-UK-The-National-Charity,2019,4.2,4.1,4.2,3.6,3.7,3.7
Age-UK-The-National-Charity,2020,4.1,3.8,4.0,3.1,3.1,3.3
Age-UK-The-National-Charity,2021,4.1,3.8,4.0,2.8,2.5,3.7
AlixPartners,2014,5.0,4.0,5.0,5.0,5.0,5.0
AlixPartners,2015,3.5,2.5,3.3,3.5,4.0,3.2
AlixPartners,2016,3.7,3.0,5.0,4.0,4.0,4.0
AlixPartners,2017,3.2,3.8,3.0,2.7,3.5,3.5
AlixPartners,2018,4.5,3.2,4.5,4.4,4.3,4.1
AlixPartners,2019,4.7,3.9,4.7,4.7,4.6,4.7
AlixPartners,2020,5.0,3.7,5.0,5.0,5.0,4.7
AlixPartners,2021,4.4,3.0,4.2,4.5,4.4,3.9
American-Express,2008,3.7,4.0,,3.4,2.9,3.5
American-Express,2009,3.4,3.7,,3.2,2.9,3.3
American-Express,2010,3.6,3.7,,3.2,3.0,3.3
American-Express,2011,3.6,3.8,,3.3,3.0,3.3
American-Express,2012,3.7,3.9,3.9,3.4,3.4,3.4
American-Express,2013,3.5,3.7,3.7,3.3,3.4,3.2
American-Express,2014,3.6,3.8,3.7,3.4,3.6,3.2
American-Express,2015,3.6,3.7,3.7,3.3,3.5,3.1
American-Express,2016,3.7,3.8,3.8,3.4,3.7,3.2
American-Express,2017,3.8,3.9,3.9,3.5,3.8,3.3
American-Express,2018,3.9,3.9,3.9,3.6,3.8,3.4
American-Express,2019,4.0,4.0,4.1,3.7,3.9,3.6
American-Express,2020,4.2,4.2,4.2,3.8,4.0,3.8
American-Express,2021,4.2,4.2,4.3,3.8,3.9,3.8
Amey,2010,2.0,2.0,,2.0,4.0,1.0
Amey,2013,3.0,3.5,4.0,3.5,2.5,3.5
Amey,2014,3.1,3.2,3.6,3.0,2.9,2.6
Amey,2015,3.2,3.0,3.3,3.5,3.2,3.3
Amey,2016,3.4,3.3,3.3,3.2,3.0,3.0
Amey,2017,3.0,3.2,3.0,3.0,2.9,2.7
Amey,2018,3.2,3.3,3.0,3.1,2.8,2.7
Amey,2019,3.2,3.6,3.2,3.0,2.9,2.9
Amey,2020,3.2,3.2,3.0,2.8,3.0,2.6
Amey,2021,3.6,3.6,3.4,3.3,3.2,3.2
Angard-Staffing,2015,4.0,2.0,3.0,5.0,3.0,2.0
Angard-Staffing,2016,2.4,2.1,1.9,1.4,1.9,1.9
Angard-Staffing,2017,2.5,2.6,1.8,1.6,2.3,1.8
Angard-Staffing,2018,3.5,4.0,3.4,3.2,3.2,3.8
Angard-Staffing,2019,2.9,3.1,3.1,1.8,2.4,3.0
Angard-Staffing,2020,2.9,2.8,2.3,1.9,2.3,2.2
Angard-Staffing,2021,2.9,3.4,3.1,1.9,2.7,3.2
Anglian-Water,2015,5.0,4.0,5.0,5.0,4.0,5.0
Anglian-Water,2016,4.7,4.4,4.9,4.5,4.7,4.6
Anglian-Water,2017,4.4,4.1,4.4,4.3,4.3,4.3
Anglian-Water,2018,4.6,4.3,4.6,4.2,4.5,4.3
Anglian-Water,2019,4.3,4.2,4.2,4.3,4.4,3.9
Anglian-Water,2020,4.5,4.1,4.3,4.1,4.5,4.2
Anglian-Water,2021,4.4,4.2,4.3,4.1,4.2,3.9
Anglo-American,2009,4.3,4.7,,4.0,2.7,3.3
Anglo-American,2010,2.5,3.0,,2.5,2.5,2.5
Anglo-American,2011,4.5,4.0,,4.0,2.5,4.0
Anglo-American,2012,4.5,5.0,4.0,4.5,5.0,4.0
Anglo-American,2013,3.5,3.0,3.4,2.7,3.0,3.0
Anglo-American,2014,3.4,3.2,3.0,2.8,3.8,3.1
Anglo-American,2015,3.2,3.4,3.0,2.8,3.6,2.6
Anglo-American,2016,3.9,3.3,3.6,3.6,4.2,3.2
Anglo-American,2017,3.6,3.1,3.3,3.2,3.9,2.8
Anglo-American,2018,3.8,3.6,3.6,3.2,4.4,3.4
Anglo-American,2019,4.0,3.5,3.7,3.5,4.2,3.2
Anglo-American,2020,4.3,3.8,4.0,3.9,4.4,3.7
Anglo-American,2021,4.3,3.7,4.2,3.7,4.2,3.8
Animal-and-Plant-Health-Agency,2016,4.5,5.0,5.0,4.0,5.0,4.5
Animal-and-Plant-Health-Agency,2018,4.5,3.0,4.0,2.0,3.0,4.0
Animal-and-Plant-Health-Agency,2019,3.0,4.0,3.0,3.0,4.0,3.0
Animal-and-Plant-Health-Agency,2020,3.9,4.4,3.4,2.6,4.0,3.6
Animal-and-Plant-Health-Agency,2021,3.2,3.5,3.0,3.0,3.0,2.9
Aon,2008,3.0,3.2,,2.5,3.2,3.2
Aon,2009,3.2,3.5,,3.1,3.1,3.0
Aon,2010,3.2,3.5,,2.8,2.7,3.0
Aon,2011,2.8,3.2,,2.7,2.7,2.5
Aon,2012,3.4,3.5,3.0,3.2,3.1,3.1
Aon,2013,3.2,3.2,3.0,3.0,3.2,2.9
Aon,2014,3.3,3.4,3.2,3.0,3.3,2.9
Aon,2015,3.4,3.3,3.3,3.1,3.2,3.0
Aon,2016,3.4,3.3,3.3,3.2,3.2,3.0
Aon,2017,3.4,3.5,3.4,3.1,3.1,3.0
Aon,2018,3.4,3.5,3.3,3.1,3.2,2.9
Aon,2019,3.5,3.6,3.5,3.2,3.2,3.1
Aon,2020,3.7,3.5,3.6,3.4,3.4,3.2
Aon,2021,3.7,3.5,3.8,3.5,3.4,3.4
Apple,2008,3.9,3.4,,3.3,3.4,3.5
Apple,2009,3.8,3.5,,3.2,3.6,3.5
Apple,2010,3.7,3.4,,3.1,3.6,3.5
Apple,2011,3.9,3.6,,3.4,3.7,3.6
Apple,2012,3.9,3.3,4.1,3.3,3.7,3.4
Apple,2013,3.8,3.2,4.1,3.2,3.8,3.3
Apple,2014,3.9,3.3,4.1,3.3,3.9,3.4
Apple,2015,4.0,3.3,4.1,3.5,4.0,3.5
Apple,2016,4.0,3.3,4.1,3.4,4.1,3.5
Apple,2017,4.0,3.4,4.1,3.4,4.1,3.4
Apple,2018,4.0,3.4,4.1,3.5,4.2,3.5
Apple,2019,4.0,3.4,4.1,3.5,4.2,3.4
Apple,2020,4.3,3.7,4.3,3.8,4.3,3.7
Apple,2021,4.3,3.7,4.3,3.8,4.3,3.8
Arcadia,2010,4.0,4.0,,4.0,3.0,4.0
Arcadia,2011,4.0,3.0,,3.0,3.0,4.0
Arcadia,2012,3.0,2.5,2.8,2.5,3.0,2.2
Arcadia,2013,2.8,3.2,2.5,2.2,2.2,2.5
Arcadia,2014,3.1,3.0,3.2,2.8,2.7,3.1
Arcadia,2015,2.6,2.8,2.1,2.4,2.3,2.2
Arcadia,2016,3.0,3.3,2.9,2.7,3.0,2.5
Arcadia,2017,3.0,3.1,2.6,2.5,2.6,2.6
Arcadia,2018,2.8,3.0,2.6,2.6,2.8,2.4
Arcadia,2019,2.8,2.9,2.7,2.5,2.6,2.4
Arcadia,2020,3.1,3.2,2.7,2.5,2.6,2.6
Arcadia,2021,3.2,3.3,3.1,2.8,2.7,3.0
Arnold-Clark,2012,1.0,1.0,1.0,1.0,1.0,1.0
Arnold-Clark,2013,1.5,1.0,1.0,1.5,1.5,1.0
Arnold-Clark,2014,2.2,1.7,2.1,2.5,2.7,2.0
Arnold-Clark,2015,2.6,2.7,2.1,3.2,2.9,2.0
Arnold-Clark,2016,2.9,2.3,2.8,3.1,3.3,2.6
Arnold-Clark,2017,2.9,2.7,2.8,3.0,3.1,2.7
Arnold-Clark,2018,4.1,3.7,4.0,4.0,4.1,4.0
Arnold-Clark,2019,3.2,2.9,3.3,3.4,3.6,2.9
Arnold-Clark,2020,3.0,2.6,2.9,2.9,3.2,2.7
Arnold-Clark,2021,3.3,2.7,3.0,3.1,3.4,3.0
AstraZeneca,2008,3.2,3.7,,2.8,3.2,2.6
AstraZeneca,2009,3.2,3.7,,2.8,3.8,2.7
AstraZeneca,2010,3.3,3.5,,2.9,3.5,3.0
AstraZeneca,2011,2.9,3.1,,2.6,3.4,2.5
AstraZeneca,2012,3.1,3.4,3.0,2.7,3.7,2.4
AstraZeneca,2013,3.4,3.4,3.2,2.9,3.8,2.7
AstraZeneca,2014,3.4,3.4,3.2,3.0,3.8,2.7
AstraZeneca,2015,3.6,3.5,3.6,3.2,3.8,3.2
AstraZeneca,2016,3.5,3.4,3.5,3.1,3.8,3.0
AstraZeneca,2017,3.6,3.5,3.5,3.1,3.9,2.9
AstraZeneca,2018,3.8,3.8,3.8,3.4,3.9,3.3
AstraZeneca,2019,3.9,3.8,3.8,3.5,4.0,3.4
AstraZeneca,2020,4.1,3.8,4.0,3.8,4.1,3.5
AstraZeneca,2021,4.1,3.9,4.1,3.7,4.0,3.6
Aviva,2009,4.0,4.0,,3.0,4.0,2.0
Aviva,2010,3.0,3.0,,3.3,2.9,2.1
Aviva,2011,3.0,3.7,,3.0,2.7,2.5
Aviva,2012,3.2,3.3,3.2,2.6,3.2,2.6
Aviva,2013,3.0,3.5,3.0,2.8,3.0,2.5
Aviva,2014,3.4,4.0,3.3,2.9,3.4,3.0
Aviva,2015,3.4,3.7,3.2,3.1,3.2,3.0
Aviva,2016,3.4,3.7,3.3,3.1,3.4,3.0
Aviva,2017,3.3,3.7,3.3,2.9,3.4,2.8
Aviva,2018,3.4,3.5,3.4,3.1,3.6,3.0
Aviva,2019,3.5,3.7,3.4,3.1,3.6,2.9
Aviva,2020,3.6,3.6,3.5,3.1,3.6,3.0
Aviva,2021,3.8,3.8,3.6,3.3,3.7,3.2
B-and-M-Retail,2012,1.0,1.0,1.0,1.0,1.0,1.0
B-and-M-Retail,2013,1.5,2.1,1.6,2.0,1.6,1.5
B-and-M-Retail,2014,3.6,3.2,3.3,3.8,2.6,3.5
B-and-M-Retail,2015,2.8,2.7,2.5,2.6,2.2,2.5
B-and-M-Retail,2016,3.1,2.8,2.9,3.0,2.4,2.8
B-and-M-Retail,2017,2.5,2.4,2.3,2.3,1.9,2.2
B-and-M-Retail,2018,2.8,2.8,2.6,2.5,2.1,2.5
B-and-M-Retail,2019,2.7,2.5,2.5,2.7,2.2,2.5
B-and-M-Retail,2020,4.0,3.7,3.8,4.0,3.3,3.9
B-and-M-Retail,2021,4.1,3.8,4.0,4.0,3.5,4.0
B-and-Q,2008,3.5,3.5,,3.0,2.0,3.0
B-and-Q,2011,4.0,5.0,,3.0,3.0,4.0
B-and-Q,2012,3.7,3.6,3.0,3.1,3.4,3.1
B-and-Q,2013,3.6,3.7,3.5,3.1,3.4,2.9
B-and-Q,2014,3.1,3.0,3.0,2.9,3.4,2.3
B-and-Q,2015,3.1,2.9,3.2,2.9,3.1,2.7
B-and-Q,2016,3.2,3.0,3.1,3.0,3.1,2.9
B-and-Q,2017,3.0,2.7,2.9,2.7,3.0,2.6
B-and-Q,2018,3.2,3.0,3.0,2.8,3.0,2.5
B-and-Q,2019,3.4,3.1,3.2,3.0,3.0,2.8
B-and-Q,2020,3.6,3.4,3.5,3.1,3.2,3.1
B-and-Q,2021,3.5,3.1,3.1,2.9,2.9,2.9
BAT,2008,2.0,4.0,,2.0,2.0,4.0
BAT,2009,3.0,4.0,,3.0,5.0,3.0
BAT,2010,4.4,4.8,,4.0,3.8,4.0
BAT,2011,2.2,2.2,,2.5,4.5,2.2
BAT,2012,4.1,3.8,3.8,3.9,4.1,3.5
BAT,2013,3.0,3.2,1.7,2.7,4.2,2.0
BAT,2014,3.4,4.0,3.6,3.6,4.7,3.5
BAT,2015,4.0,3.6,3.8,3.7,4.2,3.5
BAT,2016,3.5,3.2,3.5,3.5,3.9,3.1
BAT,2017,3.7,3.4,3.7,3.7,4.2,3.2
BAT,2018,4.0,3.5,3.7,3.7,4.5,3.4
BAT,2019,3.6,3.2,3.5,3.6,4.3,3.2
BAT,2020,4.0,3.4,3.6,3.6,4.5,3.3
BAT,2021,3.7,2.9,3.2,3.5,4.2,3.0
BBC,2008,3.1,3.5,,2.8,2.2,2.1
BBC,2009,2.2,3.5,,3.2,2.2,2.0
BBC,2010,3.0,3.1,,2.8,2.2,2.4
BBC,2011,3.5,4.2,,3.1,3.0,3.0
BBC,2012,3.6,3.9,3.8,3.2,3.0,2.9
BBC,2013,3.5,3.7,3.9,3.3,3.0,2.3
BBC,2014,3.4,3.8,3.5,2.9,2.9,2.5
BBC,2015,3.6,3.8,3.9,3.3,2.9,2.7
BBC,2016,3.9,3.8,3.9,3.4,3.0,2.8
BBC,2017,3.7,3.7,3.9,3.4,3.0,2.9
BBC,2018,4.0,4.0,3.9,3.6,3.0,3.0
BBC,2019,3.9,4.1,4.0,3.7,3.3,3.1
BBC,2020,4.0,3.9,3.9,3.6,3.2,3.1
BBC,2021,3.9,4.1,3.9,3.6,3.1,3.2
BDO,2008,2.0,3.0,,1.0,2.0,2.0
BDO,2009,3.4,3.9,,3.1,2.7,3.0
BDO,2010,2.5,2.9,,3.1,2.5,2.4
BDO,2011,2.4,2.5,,2.5,2.5,2.5
BDO,2012,2.9,3.1,3.0,3.0,2.5,2.9
BDO,2013,3.4,3.3,3.4,3.5,2.8,3.2
BDO,2014,3.0,3.1,3.0,3.0,2.8,2.8
BDO,2015,3.4,3.2,3.4,3.4,2.8,3.1
BDO,2016,3.4,3.1,3.2,3.4,2.9,3.1
BDO,2017,3.4,3.1,3.2,3.4,2.8,3.1
BDO,2018,3.2,2.9,3.0,3.2,2.6,2.9
BDO,2019,3.3,3.1,3.2,3.4,2.9,3.1
BDO,2020,3.6,3.0,3.4,3.6,2.9,3.2
BDO,2021,3.6,3.0,3.5,3.6,3.0,3.3
BHS,2012,4.0,3.0,4.0,4.0,3.0,3.0
BHS,2013,2.7,2.7,2.7,3.0,2.3,2.7
BHS,2014,3.8,4.4,3.2,3.0,2.9,2.8
BHS,2015,3.2,3.2,3.0,2.8,3.0,3.0
BHS,2016,3.3,3.0,3.1,2.8,2.7,3.0
BHS,2017,3.1,2.9,2.5,2.2,2.2,2.6
BHS,2018,3.3,3.5,3.5,2.7,2.7,3.1
BHS,2019,3.3,2.3,2.0,2.3,2.5,2.0
BHS,2020,3.9,3.2,3.3,2.8,3.1,2.9
BHS,2021,3.7,3.2,3.6,3.4,3.2,3.4
BIS,2012,2.0,3.0,2.0,2.0,4.0,1.0
BIS,2013,3.3,4.3,3.7,3.7,3.0,3.0
BIS,2014,4.0,4.0,1.0,4.5,4.0,1.0
BIS,2015,3.6,3.7,2.7,2.7,2.4,2.9
BIS,2016,2.8,3.4,2.9,2.9,2.9,2.7
BIS,2017,3.2,3.5,3.0,3.3,2.9,2.4
BIS,2018,3.2,2.7,3.3,2.3,2.7,3.0
BIS,2019,3.8,3.5,4.2,3.4,3.6,3.8
BIS,2020,3.7,2.7,3.0,3.3,4.5,2.3
BIS,2021,3.2,3.3,3.1,3.0,2.3,2.7
BNP-Paribas,2008,3.2,3.8,,3.0,3.0,2.7
BNP-Paribas,2009,3.2,3.5,,3.2,2.9,2.8
BNP-Paribas,2010,2.9,3.2,,2.5,2.6,2.7
BNP-Paribas,2011,3.1,3.3,,2.8,2.8,2.7
BNP-Paribas,2012,3.2,3.5,3.1,2.7,3.0,2.8
BNP-Paribas,2013,3.1,3.4,3.1,2.8,3.0,2.7
BNP-Paribas,2014,3.2,3.8,3.2,2.9,3.0,2.7
BNP-Paribas,2015,3.5,3.7,3.5,3.2,3.2,3.0
BNP-Paribas,2016,3.5,3.8,3.3,3.1,3.1,2.9
BNP-Paribas,2017,3.4,3.6,3.4,3.1,3.0,2.9
BNP-Paribas,2018,3.4,3.7,3.3,3.0,3.1,2.9
BNP-Paribas,2019,3.5,3.7,3.5,3.2,3.1,2.9
BNP-Paribas,2020,3.6,3.7,3.5,3.3,3.2,3.0
BNP-Paribas,2021,3.7,3.8,3.8,3.5,3.3,3.2
BNY-Mellon,2008,3.1,3.3,,2.7,2.8,2.8
BNY-Mellon,2009,2.8,3.3,,2.3,2.9,2.7
BNY-Mellon,2010,2.7,3.2,,2.4,2.7,2.6
BNY-Mellon,2011,2.6,3.2,,2.5,2.6,2.5
BNY-Mellon,2012,2.7,3.3,2.8,2.5,2.6,2.5
BNY-Mellon,2013,2.8,3.3,2.9,2.5,2.6,2.6
BNY-Mellon,2014,2.8,3.3,2.8,2.5,2.6,2.4
BNY-Mellon,2015,2.9,3.4,2.9,2.6,2.7,2.5
BNY-Mellon,2016,3.1,3.4,3.0,2.8,2.9,2.6
BNY-Mellon,2017,3.1,3.4,3.2,2.8,3.0,2.7
BNY-Mellon,2018,3.2,3.5,3.2,2.9,3.1,2.7
BNY-Mellon,2019,3.0,3.3,2.9,2.8,3.0,2.5
BNY-Mellon,2020,3.4,3.5,3.3,3.1,3.3,2.8
BNY-Mellon,2021,3.5,3.6,3.5,3.2,3.3,3.1
BP,2008,3.1,3.8,,3.1,3.2,2.8
BP,2009,2.9,3.9,,3.5,3.0,2.6
BP,2010,3.7,3.6,,3.2,2.9,3.2
BP,2011,3.2,4.2,,3.0,3.2,3.2
BP,2012,3.5,3.2,3.4,3.2,3.9,2.8
BP,2013,3.9,4.4,3.9,3.6,3.8,3.0
BP,2014,3.2,3.5,3.2,3.4,3.7,2.8
BP,2015,3.4,3.9,3.4,3.2,3.7,3.0
BP,2016,3.6,3.7,3.4,3.2,3.7,3.1
BP,2017,3.4,3.4,3.3,3.2,3.6,2.7
BP,2018,3.6,3.5,3.6,3.2,3.6,3.0
BP,2019,3.7,3.8,3.7,3.2,3.6,3.1
BP,2020,3.9,3.9,4.0,3.4,3.8,3.5
BP,2021,4.0,4.1,4.1,3.5,4.0,3.5
BPP-Holdings,2012,4.5,4.0,5.0,4.0,4.0,4.5
BPP-Holdings,2013,2.0,3.0,2.0,1.0,2.0,1.0
